Unnamed: 0,Station_id,Station Name,Latitude,Longitude,NAME_1,NAME_2,Unnamed: 7
243,243,Mountain View Nissan,35.030251,-85.308376,Tennessee,Hamilton,
244,244,Harold Mathews Nissan,36.513006,-87.268667,Tennessee,Montgomery,
245,245,Cookeville Nissan,36.137109,-85.496453,Tennessee,Putnam,
248,248,Nissan of Cool Springs,35.957857,-86.80853,Tennessee,Williamson,
250,250,Tri-Cities Nissan,36.374198,-82.372119,Tennessee,Washington,
251,251,Wallace Nissan Oldsmobile,36.551978,-82.487762,Tennessee,Sullivan,
252,252,Ted Russell Nissan,35.920587,-84.067881,Tennessee,Knox,
253,253,Rusty Wallace Nissan,35.999617,-83.969451,Tennessee,Knox,
254,254,Nissan of Rivergate,36.29062,-86.7051,Tennessee,Davidson,
257,257,AutoNation Nissan - Memphis,35.0353,-89.795859,Tennessee,Shelby,
258,258,Jim Keras Nissan,35.181031,-89.895533,Tennessee,Shelby,
260,260,Nissan of Murfreesboro,35.854156,-86.394979,Tennessee,Rutherford,
261,261,Action Nissan,36.110606,-86.743585,Tennessee,Davidson,
262,262,Downtown Nashville Nissan,36.191053,-86.793132,Tennessee,Davidson,
263,263,Carr Nissan,45.491783,-122.81107,Oregon,Washington,
264,264,Lithia Nissan of Bend,44.055213,-121.277279,Oregon,Deschutes,
265,265,Kiefer Nissan,44.572608,-123.258425,Oregon,Benton,
266,266,Lithia Nissan of Eugene,44.05902085,-123.0813975,Oregon,Lane,
267,267,Dick Hannah Nissan,45.378967,-122.603899,Oregon,Clackamas,
268,268,Chuck Colvin Nissan,45.227394,-123.180863,Oregon,Yamhill,
269,269,Lithia Nissan,42.379969,-122.858192,Oregon,Jackson,
270,270,Rustom Nissan - Portland,45.531759,-122.537403,Oregon,Multnomah,
271,271,Nissan of Salem,44.921582,-123.006236,Oregon,Marion,
273,273,Tonkin Nissan,45.326814,-122.770853,Oregon,Clackamas,
274,274,Dick Smith Nissan,34.055164,-81.128164,South Carolina,Lexington,
275,275,Dick Smith Nissan,33.997902,-81.222504,South Carolina,Lexington,
276,276,Twin City Nissan,35.830725,-83.974822,Tennessee,Blount,
277,277,Wolfchase Nissan,35.205818,-89.791337,Tennessee,Shelby,
278,278,Dutch Miller Nissan,36.54282,-82.2354,Tennessee,Sullivan,
279,279,Nissan of Chattanooga East,35.056433,-85.190515,Tennessee,Hamilton,
280,280,Benton Nissan - Hoover,33.394903,-86.807186,Alabama,Jefferson,
281,281,Matt Bowers Nissan Eastern Shore,30.660697,-87.858464,Alabama,Baldwin,
282,282,Lynn Layton Nissan,34.563857,-86.972193,Alabama,Morgan,
283,283,Jack Ingram Motors,32.376832,-86.208559,Alabama,Montgomery,
284,284,Avondale Nissan,33.459826,-112.284168,Arizona,Maricopa,
285,285,AutoNation Nissan - Chandler,33.286316,-111.791107,Arizona,Maricopa,
287,287,East Valley Nissan,33.385361,-111.695062,Arizona,Maricopa,
288,288,Larry H Miller Nissan - Mesa,33.434313,-111.872266,Arizona,Maricopa,
289,289,Peoria Nissan,33.636921,-112.253682,Arizona,Maricopa,
290,290,ABC Nissan,33.509862,-112.054162,Arizona,Maricopa,
291,291,Coulter Nissan,33.605183,-112.420442,Arizona,Maricopa,
292,292,Midway Nissan,33.639038,-112.108088,Arizona,Maricopa,
293,293,Pinnacle Nissan,33.635224,-111.915739,Arizona,Maricopa,
294,294,AutoNation Nissan - Tempe,33.346812,-111.967793,Arizona,Maricopa,
295,295,Jim Click Nissan,32.289823,-110.985646,Arizona,Pima,
296,296,Thoroughbred Nissan,32.207374,-110.881798,Arizona,Pima,
297,297,Antioch Nissan,38.007799,-121.832042,California,Contra Costa,
