Unnamed: 0,value,location_unique_id,location_country,location_lat,location_lng,COUNTRY,Unnamed: 7,Unnamed: 8,Unnamed: 9
105,C8QBO,3c59cb26-6802-11e9-95be-42010a840003,IE,53.278213,-9.050699,Ireland,,,
107,C5MWH,31a796cc-6802-11e9-9f21-42010a840003,IE,53.362824,-7.496517,Ireland,,,
113,C8XJP,32833f4c-6802-11e9-86de-42010a840003,IE,52.059533,-9.507251,Ireland,,,
114,Killarney Park Hotel  East Avenue  Killarney  County Kerry,e6c92730-c8d5-11e9-9297-42010a840003,IE,52.058,-9.5049,Ireland,,,
115,CB52P,329c892a-6802-11e9-94c3-42010a840003,IE,53.349272,-6.45268,Ireland,,,
117,C8DDM,32c080c8-6802-11e9-ad89-42010a840003,IE,53.963924,-6.364996,Ireland,,,
119,C60WJ,32fe5344-6802-11e9-986a-42010a840003,IE,52.6638,-8.6216,Ireland,,,
121,C6REJ,3320712c-6802-11e9-b21c-42010a840003,IE,52.6527,-8.593254,Ireland,,,
127,C8F13,3378a752-6802-11e9-9986-42010a840003,IE,53.394993,-7.719377,Ireland,,,
128,C6LPR,33806820-6802-11e9-8c26-42010a840003,IE,53.451232,-6.15157,Ireland,,,
129,C8JSB,2b42cc0c-13aa-11eb-adf3-42010a840003,IE,53.451677,-6.156183,Ireland,,,
130,suby1100002775,e19718b2-51e0-11ec-be27-42010a840003,IE,53.45093,-6.152092,Ireland,,,
131,suby1100010294,e1a3b52c-51e0-11ec-be9a-42010a840003,IE,53.45034,-6.15631,Ireland,,,
150,C7AJC,34df512c-6802-11e9-9f1e-42010a840003,IE,53.454205,-6.223523,Ireland,,,
151,SWP001,fe41dcf2-2a33-11eb-a62e-42010a840003,IE,53.453917,-6.221329,Ireland,,,
152,C6NY4,34fccf2c-6802-11e9-8c6a-42010a840003,IE,53.285621,-6.369887,Ireland,,,
160,C7SDK,35b0798c-6802-11e9-a68c-42010a840003,IE,52.258808,-7.1056,Ireland,,,
161,C62KO,365147e0-6802-11e9-9c93-42010a840003,IE,52.258792,-7.108648,Ireland,,,
162,C88Q3,35d05cb6-6802-11e9-a145-42010a840003,IE,52.259869,-7.117368,Ireland,,,
163,C68MB,35f7ee84-6802-11e9-8d85-42010a840003,IE,52.26604,-7.116893,Ireland,,,
165,Top/Londis Service Station  Holy Cross/Butlerstown (R680 - Old Cork Road)  Waterford City  County Waterford,35e48060-6802-11e9-b846-42010a840003,IE,52.241289,-7.169842,Ireland,,,
171,C7WX1,3614e9f8-6802-11e9-878e-42010a840003,IE,53.360817,-6.183111,Ireland,,,
180,C83SL,368e631e-6802-11e9-ab77-42010a840003,IE,52.255957,-7.111051,Ireland,,,
181,TEV024,91db8dd0-33b4-11eb-91b7-42010a840003,IE,52.25426,-7.111383,Ireland,,,
182,C8X4L,36aa0b78-6802-11e9-b147-42010a840003,IE,52.337957,-6.460155,Ireland,,,
183,C8K66,3c3db44a-6802-11e9-ab42-42010a840003,IE,52.337426,-6.46209,Ireland,,,
184,C615C,f821071e-c8d5-11e9-8588-42010a840003,IE,52.339897,-6.464039,Ireland,,,
185,Texaco (Mace & Supermacs)  N4  Ballinalack  County Westmeath,36b2699e-6802-11e9-9f52-42010a840003,IE,53.6256,-7.4661,Ireland,,,
186,C7EN4,30264296-660e-11ec-91f9-42010a840003,IE,53.62617,-7.46709,Ireland,,,
188,C7G33,36e04a8a-6802-11e9-8279-42010a840003,IE,53.610233,-6.182937,Ireland,,,
189,C89PW,f28bfc58-0e73-11ea-bc9a-42010a840003,IE,53.611523,-6.182852,Ireland,,,
199,C8Z6D,3bc9f5d2-6802-11e9-b00c-42010a840003,IE,53.377362,-6.391979,Ireland,,,
201,C743W,3c14d5de-6802-11e9-b087-42010a840003,IE,53.319464,-6.315379,Ireland,,,
202,C9NSQ,3c334c62-6802-11e9-8911-42010a840003,IE,53.923946,-6.411058,Ireland,,,
203,Tesla Supercharger Castlebellingham - Southbound,8191184c-c76a-11eb-b373-42010a840003,IE,53.924263,-6.411622,Ireland,,,
206,C8YK0,52aba76e-6802-11e9-aac5-42010a840003,IE,53.386834,-6.374197,Ireland,,,
207,C8GQZ,52beab98-6802-11e9-995c-42010a840003,IE,53.367976,-7.498115,Ireland,,,
208,C7E19,52da5442-6802-11e9-9396-42010a840003,IE,53.283229,-6.421707,Ireland,,,
209,EasyGo - Lidl  Fortunestown  Dublin,e800a3ce-13a9-11eb-b8a8-42010a840003,IE,53.285172,-6.418601,Ireland,,,
