Unnamed: 0,name,pname,cityname,wgs84_lon,wgs84_lat
66,国家电网汽车充电站(上海青浦区青西郊野公园游客中心电动汽车充电站),上海市,上海市,121.00366537073576,31.05958279358761
67,国家电网汽车充电站(上海青浦区青西郊野公园3号停车场电动汽车充电站),上海市,上海市,120.9974748979123,31.05105751599495
68,国家电网充电站(青西郊野公园1号停车场),上海市,上海市,121.00651062071957,31.051845681389
69,国家电网汽车充电站(上海青浦区青西郊野公园2号停车场电动汽车充电站),上海市,上海市,121.00654848686806,31.051797595562324
70,国家电网汽车充电站(东方绿舟),上海市,上海市,121.00860187294596,31.10112545074581
71,国家电网充电站(上海青浦区东方绿洲1号),上海市,上海市,121.00852515473365,31.101077705900817
72,国家电网充电站(青浦区东方绿洲2号电动汽车充电站),上海市,上海市,121.0086676440917,31.10101631557697
73,安悦充电充电站(安悦汽车站东方绿舟站),上海市,上海市,121.0085732582035,31.109634818733035
74,小昆山服务区国家电网电动汽车充电站,上海市,上海市,121.12916693816958,31.05492933760637
75,普天充电站(天马乡村俱乐部),上海市,上海市,121.13589819355964,31.06347494910098
76,星星充电汽车充电站(青浦区太阳岛),上海市,上海市,121.08568204763236,31.03712093742709
77,国家电网汽车充电站(上海青浦区寻梦源电动汽车充电站),上海市,上海市,121.08488499113912,31.04335061666061
78,威贸汽车电子充电站,上海市,上海市,121.06650234311472,31.00757237383653
79,森通智达充电站(正泰科沁苑),上海市,上海市,121.16988604011208,31.022826446505785
80,依威能源汽车充电站(正泰科沁苑),上海市,上海市,121.16849811753946,31.02396716814533
81,依威能源汽车充电站(上海正泰启迪智电港科创中心),上海市,上海市,121.16687582155149,31.023867173210093
82,蔚来能源汽车充电站(蔚来超充站上海松江时尚谷创意园),上海市,上海市,121.16425271516174,31.032931944639994
83,挚达汽车充电站(广富林路),上海市,上海市,121.18369685118546,31.05503516605124
84,国家电网汽车充电站(上海松江区石湖荡电动汽车充电站),上海市,上海市,121.11407498149052,30.98873464565773
85,森通智达充电站(恒杰丁香花园-75号楼西面),上海市,上海市,121.18149032250258,31.046152341099432
86,依威能源汽车充电站(辰丰苑),上海市,上海市,121.17951933389108,31.012055668973385
87,森通智达充电站(恒杰丁香花园-83号楼西面),上海市,上海市,121.18245530696778,31.044912796191824
88,佘山旅游电动汽车充电站,上海市,上海市,121.19275755804188,31.09126907596815
89,威吾德信息科技汽车充电站,上海市,上海市,121.1651023530559,30.98682864652348
90,森通智达充电站(华庭荣园),上海市,上海市,121.19561643663924,31.021138009280577
91,星星充电汽车充电站(中国石化停车玉树站),上海市,上海市,121.19396582757768,31.018411967774647
92,国家电网充电站(上海青浦区陈云纪念馆),上海市,上海市,121.041140683123,31.0093145313662
93,依威能源汽车充电站(上海华东电商科技专修学院朱家角校区),上海市,上海市,121.0589153379456,31.09435082807231
94,滨湖郡电动汽车充电站,上海市,上海市,121.0432920307156,31.12444120450647
95,特斯拉充电站(朱家角安麓酒店新国标),上海市,上海市,121.0443728540288,31.116520226153824
96,充电队长汽车充电站(景苑会务),上海市,上海市,121.04769135009072,31.11704413224671
97,保时捷汽车充电站(上海朱家角安麓酒店目的地充电站),上海市,上海市,121.04418532668056,31.11674449979994
98,保时捷汽车充电站(上海朱家角安麓酒店目的地充电站),上海市,上海市,121.04411749040446,31.11691455037404
99,依威能源汽车充电站(中信泰富朱家角新城·悦湖郡),上海市,上海市,121.04544653039436,31.12277556174512
100,特斯拉充电站(上海中信泰富朱家角锦江超级站新国标),上海市,上海市,121.04521315580028,31.12250119590412
101,依威能源汽车充电站(中信泰富朱家角新城·文苑),上海市,上海市,121.04164051014622,31.12414596306459
102,依威能源汽车充电站(中信泰富朱家角新城·翠苑三期),上海市,上海市,121.04105425854904,31.12249716040522
103,特来电充电站(上海松江泰晤士百方超充站),上海市,上海市,121.19288679499932,31.031972280764204
104,上海一电充电站(盛京银行松江支行),上海市,上海市,121.1958563745582,31.026707128702864
105,国家电网汽车充电站(上海青浦区人文纪念博物馆电动汽车充电站),上海市,上海市,121.12602661378864,31.1151114097848
106,国家电网汽车充电站(上海青浦区人文纪念博物馆电动汽车充电站),上海市,上海市,121.12600358512078,31.115104385266243
107,陈云故里·练塘古镇电动汽车充电站,上海市,上海市,121.0397595509437,31.008882890174487
108,依威能源汽车充电站(华亭新家三辰苑一村),上海市,上海市,121.18438883928732,31.01174361589048
109,依威能源汽车充电站(华亭新家三辰苑二村),上海市,上海市,121.18857171443,31.011697929809653
110,特斯拉汽车充电站(上海松江广富林希尔顿酒店),上海市,上海市,121.19452271034083,31.066782814415923
111,特来电充电站(上海润丰商务楼),上海市,上海市,121.18981281127688,31.025691833918977
112,小桔充电汽车充电站(蝶尔泰晤士美术馆地面快充站),上海市,上海市,121.19380220171732,31.03431140698318
113,特来电充电站(上海西镇大拇指),上海市,上海市,121.04453353713942,31.11531254981841
114,特来电充电站(特来电站物美超市),上海市,上海市,121.19606152529454,31.00531001258691
115,汽车充电站(月湖会馆南),上海市,上海市,121.19544239010312,31.10108591958032
116,国家电网汽车充电站(上海松江区仓汇路),上海市,上海市,121.19963454310758,31.01557845673348
117,星星充电汽车充电站(星星充电飞航广场),上海市,上海市,121.20370824793214,31.0107321969836
118,汽车充电站(蔚来目充站上海飞航广场),上海市,上海市,121.20272364961882,31.012143979876583
119,星星充电汽车充电站(松江区飞航广场),上海市,上海市,121.20252340745866,31.01140612868188
120,星星充电汽车充电站(行政服务中心),上海市,上海市,121.20057708799987,31.01501418684613
121,小桔充电汽车充电站(蝶尔玉树路飞航广场快充站),上海市,上海市,121.20273470002824,31.01174423060589
122,国家电网汽车充电站(上海松江区飞航广场电动汽车充电站),上海市,上海市,121.20369012691442,31.011849514617545
123,特来电充电站(上海松江飞航广场),上海市,上海市,121.2041458986992,31.010706820513487
124,国家电网汽车充电站(上海物美超市),上海市,上海市,121.20250335564394,31.01165895141996
125,安悦充电汽车充电站(立信会计学院松江校区),上海市,上海市,121.19405748022912,31.04812280025693
126,国家电网汽车充电站(上海青浦区朱家角游客服务中心电动汽车充电站),上海市,上海市,121.04940165932106,31.11140188418317
127,依威能源汽车充电站(中信泰富朱家角新城·雅苑),上海市,上海市,121.03864059564356,31.11572933425639
128,国家电网汽车充电站(上海青浦区长三角一体化示范区规划展示馆电动汽车充电站),上海市,上海市,121.03045241244328,31.100346771980814
129,依威能源汽车充电站(中信泰富朱家角新城·翠苑二期),上海市,上海市,121.03469672937756,31.120157258784005
130,依威能源充电站(中信泰富朱家角新城·鸿玺郡),上海市,上海市,121.03116841347718,31.12106252738123
131,挚挚达充电站,上海市,上海市,121.11656052615,31.204819582493744
132,循道新能源汽车充电站(久业路),上海市,上海市,121.10897478598866,31.205799179581863
133,国家电网汽车充电站(上海青浦区四维邦尔停车场),上海市,上海市,121.10915716482826,31.191063534410272
134,国家电网汽车充电站(上海青浦区四维邦尔停车场电动汽车充电站),上海市,上海市,121.10911817265878,31.190708685768165
135,星星充电汽车充电站(庞大丰源青浦专营店),上海市,上海市,121.1217301645122,31.18855281733729
136,依威能源充电站(乐派人才公寓),上海市,上海市,121.12521997656708,31.180485893463104
137,蔚来能源汽车充电站(蔚来超充站上海云轮科创园),上海市,上海市,121.09279156520616,31.184180906574323
138,特来电充电站(上海青浦皇家1号),上海市,上海市,121.10693500039186,31.167614069608494
139,特来电充电站(上海青浦出口加工站),上海市,上海市,121.15231565434996,31.20027187434741
140,挚达汽车充电站,上海市,上海市,121.11443713533502,31.15330578291617
141,特来电充电站(上海桥梓湾广场),上海市,上海市,121.10847831012909,31.150125092184293
142,如家酒店上海青浦区城中北路店电动汽车充电站,上海市,上海市,121.1087137701133,31.15791615156749
143,星星充电汽车充电站(锦江之星上海青浦酒店直流),上海市,上海市,121.10812458410696,31.15630263181062
144,国家电网充电站(上海青浦区体育地下停车场电动汽车充电站),上海市,上海市,121.11444014210193,31.15325581169472
145,汽车充电站(上海青浦卓越世纪中心),上海市,上海市,121.0962454131193,31.169433527432705
146,星星充电汽车充电站(不对外开放清河湾佳苑),上海市,上海市,121.0977134761215,31.16872210336324
147,一能充电站(青浦卓越世纪中心),上海市,上海市,121.0959593467112,31.17034502932612
148,汽车充电站(安亭林明快充),上海市,上海市,121.13117047970536,31.163145479491003
