unitPrice,zpid,latitude,longitude,homeType
497.5812025,17143091,32.65332,-116.9808,SINGLE_FAMILY
382.6086957,2069746061,32.57861,-117.01788,SINGLE_FAMILY
448.0704384,52522766,32.62455,-117.028915,SINGLE_FAMILY
476.6949153,17175776,32.562664,-117.04269,SINGLE_FAMILY
396.9749527,52523424,32.62824,-116.982704,SINGLE_FAMILY
495.3076121,69022563,32.62901,-116.97711,CONDO
472.5085911,17178185,32.632004,-117.0489,SINGLE_FAMILY
493.5966487,82931741,32.614704,-116.97493,SINGLE_FAMILY
615.1202749,17175525,32.556816,-117.04124,SINGLE_FAMILY
415.1291513,305156405,32.571507,-117.02188,CONDO
512.195122,51080678,32.630093,-117.0038,CONDO
344.0364106,60068150,32.61413,-117.01204,SINGLE_FAMILY
654.149033,17139225,32.651897,-117.01875,SINGLE_FAMILY
578.7988423,17154608,32.60689,-117.04075,SINGLE_FAMILY
403.3804238,250193949,32.610733,-116.98987,SINGLE_FAMILY
496.5694683,17143630,32.65212,-116.97956,CONDO
417.0856611,99537536,32.61649,-116.97339,SINGLE_FAMILY
362.8502248,250191966,32.59484,-117.002464,SINGLE_FAMILY
444.3507589,61241099,32.627583,-117.040215,CONDO
445.302714,79569823,32.623245,-116.96144,CONDO
414.6488294,318295190,32.59917,-117.00118,TOWNHOUSE
363.6731392,17185538,32.637253,-116.95939,SINGLE_FAMILY
440.5840886,55297817,32.645466,-116.94965,SINGLE_FAMILY
650.7592191,17141867,32.65381,-116.9971,SINGLE_FAMILY
405.9505799,17177595,32.62231,-117.03675,SINGLE_FAMILY
347.140056,2061348936,32.56759,-117.01121,CONDO
386.2433862,17144906,32.644775,-116.96464,CONDO
436.661699,58497307,32.619427,-117.01456,SINGLE_FAMILY
483.8709677,17158024,32.604206,-117.034454,SINGLE_FAMILY
428.3164783,318295053,32.612587,-116.965546,CONDO
480.2744425,17143919,32.65215,-116.9771,CONDO
446.8802698,61177301,32.627926,-117.04149,CONDO
411.2197633,49423370,32.632088,-117.0473,SINGLE_FAMILY
425.8517888,48181281,32.611244,-117.02884,SINGLE_FAMILY
441.3322632,63660918,32.582752,-117.01908,TOWNHOUSE
359.4272727,51080974,32.631733,-116.99102,SINGLE_FAMILY
396.7541436,241609212,32.60716,-116.99605,SINGLE_FAMILY
347.7617462,69018975,32.56373,-117.025406,SINGLE_FAMILY
377.4076002,17178711,32.635185,-117.03867,SINGLE_FAMILY
432.9539832,61240997,32.564945,-117.033165,SINGLE_FAMILY
404.6639232,63478917,32.631454,-116.97817,TOWNHOUSE
415.4966199,66657863,32.579933,-117.02281,SINGLE_FAMILY
451.9309778,17184278,32.643356,-117.00348,CONDO
481.0209424,17157623,32.602737,-117.039314,SINGLE_FAMILY
380.1431127,318295326,32.61299,-116.99268,SINGLE_FAMILY
419.6642686,17183855,32.637035,-117.00602,SINGLE_FAMILY
380.5590851,51082089,32.57676,-117.031845,SINGLE_FAMILY
419.6642686,17154396,32.610672,-117.043015,SINGLE_FAMILY
378.1077348,333878138,32.605694,-116.99596,SINGLE_FAMILY
493.9309057,63478867,32.63212,-116.97934,CONDO
392.8571429,66657592,32.5726,-117.03702,CONDO
490.3604359,63778229,32.571575,-117.0385,CONDO
320.7036536,54656825,32.613403,-117.01633,SINGLE_FAMILY
434.1137124,333879333,32.59895,-117.001274,TOWNHOUSE
372.0,66658446,32.61841,-116.979904,SINGLE_FAMILY
430.4971809,17178534,32.61817,-117.04721,SINGLE_FAMILY
507.7369439,59312155,32.616524,-117.02362,CONDO
332.2490381,61242303,32.587967,-117.014885,SINGLE_FAMILY
596.9300739,17138216,32.64331,-117.04984,SINGLE_FAMILY
529.2560801,17154344,32.611263,-117.045296,SINGLE_FAMILY
424.0659874,66110110,32.62714,-116.95474,SINGLE_FAMILY
330.4317549,17187682,32.576313,-117.025,SINGLE_FAMILY
427.2300469,17144749,32.64835,-116.953255,SINGLE_FAMILY
400.304414,17168003,32.57076,-117.04477,SINGLE_FAMILY
546.6830467,17179938,32.626514,-117.017494,SINGLE_FAMILY
408.839779,69023193,32.628944,-116.96284,CONDO
292.5675676,2069774328,32.55974,-117.04866,MULTI_FAMILY
364.2355009,54656754,32.6172,-117.016815,SINGLE_FAMILY
375.4027927,17177675,32.61996,-117.03709,SINGLE_FAMILY
373.6862592,250192613,32.595757,-116.998924,SINGLE_FAMILY
492.3553719,17184221,32.640488,-116.99315,TOWNHOUSE
473.1965586,61242122,32.6289,-116.97255,SINGLE_FAMILY
534.0681363,17140117,32.647205,-117.02298,SINGLE_FAMILY
246.6888361,2060625065,32.567696,-117.01007,TOWNHOUSE
233.6467942,2060625146,32.567696,-117.01007,TOWNHOUSE
213.4758479,2060625224,32.567696,-117.01007,TOWNHOUSE
266.4688366,2060625221,32.567696,-117.01007,TOWNHOUSE
356.5768621,17117802,32.720955,-116.98656,SINGLE_FAMILY
379.7180564,2061977942,32.72573,-116.97269,TOWNHOUSE
395.7464554,17040081,32.752724,-116.96385,SINGLE_FAMILY
369.1303696,17048120,32.72701,-116.97063,SINGLE_FAMILY
539.9274047,17136530,32.671368,-117.006386,SINGLE_FAMILY
652.6465068,17124749,32.70663,-117.03262,SINGLE_FAMILY
121.5277778,82940603,32.731937,-117.01369,MANUFACTURED
552.2904062,52521437,32.670147,-117.048965,SINGLE_FAMILY
417.0141785,17017461,32.733982,-117.03306,SINGLE_FAMILY
283.5962145,69022436,32.71975,-116.98412,SINGLE_FAMILY
491.0714286,17114096,32.72014,-117.03076,SINGLE_FAMILY
440.3442754,2061977946,32.72376,-116.97294,TOWNHOUSE
524.7524752,17045131,32.7316,-117.007744,TOWNHOUSE
391.3754427,2061977934,32.72573,-116.97269,TOWNHOUSE
395.7055215,17038393,32.749435,-117.01049,SINGLE_FAMILY
484.496124,17140892,32.665527,-117.020546,SINGLE_FAMILY
178.5714286,108864307,32.72777,-116.96069,MANUFACTURED
417.2489392,2061977944,32.72376,-116.97294,TOWNHOUSE
404.3469657,2061977936,32.72573,-116.97269,TOWNHOUSE
531.8439716,17038010,32.752434,-117.00817,SINGLE_FAMILY
