,code,lon,lat
58,2547,5.028721553164208,52.100145595098034
154,2543,5.002027240626305,52.091176496523914
155,2547,5.000459312954339,52.0910832489233
227,2503,5.074246966772751,52.13760644012821
228,2564,5.074215957452652,52.13786230981334
276,2306,5.033882273102747,52.11530703696146
285,2504,5.05670453490302,52.106269457191075
329,2564,5.05248769405522,52.14134066844294
456,2503,5.146389329585683,52.01605742826953
458,2501,5.186034365663379,51.99452707280212
462,2543,5.1092918354043695,52.049880021113815
463,2301,5.1176280330720365,52.04964195445297
464,2543,5.122870116904661,52.05415418363511
466,2301,5.22299211446892,52.17865075301206
507,2503,4.866826299999998,52.021595700000006
509,2542,4.870104439449512,52.02286006327495
513,2302,5.062670674856759,52.014936340043725
525,2504,4.999103313020871,52.180958246362636
531,2501,5.038135243529093,52.129132793564374
534,2301,5.04610039558333,52.1331347121944
539,2543,5.039148364109135,52.129799213926866
540,2543,5.040354066742444,52.12863443809109
544,2504,5.02991389040696,52.135198274017604
554,2303,4.985516193495336,52.12243810364138
560,2504,5.094678752350997,52.074653512460856
563,2504,5.111988824383148,52.09083737913184
577,2303,5.105013924594276,52.15839175112218
578,2543,5.145085820376306,52.12552870530723
581,2301,5.223849191542508,52.15067333984749
582,2301,5.144744955698419,52.12553985868409
584,2301,5.2152619718726685,52.09872416841508
588,2302,5.260097190120428,52.113858517830124
590,2301,5.237595622768363,52.08719936342784
591,2301,5.2622519533826875,52.08848073293884
592,2541,5.256828439943738,52.06601527777154
593,2541,5.23152005800508,52.090875752137116
594,2563,5.231390320742035,52.08719722100438
597,2502,5.23686772753446,52.08774825932408
600,2542,5.243561193955177,52.082699881358295
604,2301,5.326236093307528,52.01090519423714
605,2601,5.342879523132622,51.97512296383031
607,2501,5.346448897409826,51.974730935734314
608,2501,5.311751671700788,51.99750537431936
610,2528,5.3220967,51.97648809999999
611,2301,5.328374874509669,51.99019453747554
616,2302,5.3358685524584555,51.97276422947471
622,2522,5.20842385147352,52.06225637373623
623,2544,5.229259459864014,52.05174301145835
630,2503,5.5290308,52.0759307
631,2543,5.370679532425751,52.163704298540594
634,2541,5.388797547535573,52.195856483614406
635,2302,5.396382543822999,52.19492931800556
636,2601,5.387163877661681,52.1521821286501
643,2564,5.416495097803095,52.075664900266915
648,2501,5.287050980193257,52.05436248119021
649,2301,5.346169341029979,52.03885778368333
650,2501,5.290142083872161,52.055190540012575
652,2301,5.339880793766164,52.03172959110043
653,2301,5.416137075726578,52.015561454591236
654,2301,5.34576748564375,52.03108910450529
657,2543,5.34115940696662,52.038253711719975
661,2523,5.346628787820546,52.0334922713552
662,2542,5.34535218954621,52.03763287499967
664,2302,5.34617312965078,51.96457280215902
714,2542,5.233807414892111,52.049484529224955
942,2547,5.058845164872454,52.140305309632225
1279,2504,5.012247208043143,52.093302393255776
1487,2301,5.590905144647521,51.9566497259667
1511,2543,5.2525744121177755,52.10433328493775
1700,2543,5.12497857457284,52.05455009091163
1773,2564,5.580561488921355,52.029031736313726
1876,2301,5.427809548827237,52.189519184898906
1877,2502,5.431924964077647,52.18851862429948
1878,2542,5.431374394641808,52.18803176307429
1882,2543,5.415680645653005,52.18728525710316
1884,2504,5.4279083458972615,52.12862207060415
1885,2504,5.426978153235923,52.12929786403842
1886,2504,5.427963850436533,52.12926021518894
1887,2504,5.428231604588359,52.130022427676565
1888,2504,5.428388660623359,52.12930159490917
1889,2504,5.4278698489373225,52.13068848523437
1890,2504,5.428630667166118,52.13093287195724
1891,2504,5.426660242833174,52.12967673392126
1892,2504,5.4270734245545755,52.128692560781815
1893,2504,5.426728303728766,52.13003945246893
1894,2504,5.427481572830693,52.12997067413805
1899,2547,5.412011445204889,52.141768698449155
1978,2504,5.427940951406886,52.12980189726457
2001,2547,4.813116900000003,52.20265879999999
2006,2504,5.178113189873807,52.01726938820483
2024,2504,5.177564818319291,52.017891745059885
2025,2504,5.178892327683289,52.01656603873853
2033,2301,5.040081966997471,52.141014973382916
2098,2504,5.114684107693076,52.09090786550545
2106,2502,5.0431503982085815,52.017660291038865
2110,2504,5.341470663155816,51.97930154388246
2114,2504,5.32709849765454,51.973578507792794
2132,2547,5.244110145746051,52.25151570030924
2157,2301,5.161276426453081,52.12037890177816
2200,2501,5.037829451489465,52.12891136797974
2231,2302,5.384665331348626,52.153743226124924
2233,2567,5.38491612260297,52.154058961094464
2234,2542,5.387369951536157,52.17459856469933
2237,2504,5.39804562028157,52.18587414155178
2238,2501,5.129455761268927,52.09538318046139
2242,2303,5.125899738097574,52.0852024041117
2250,2541,5.372948417209668,52.1640364269666
2256,2301,5.380814144244955,52.19086462548345
2266,2301,5.362877265658585,52.11667799555826
2269,2301,5.347060633823579,52.15015723311105
2270,2301,5.34304050847851,52.15109127947097
2271,2301,5.347013466816994,52.149960704275955
2277,2305,5.120731053807415,52.090711724786146
2278,2305,5.120702934109998,52.090804413778805
2279,2301,5.120916507341379,52.09062613320803
2282,2301,5.356545157700287,52.227086594862286
2286,2516,5.3771686972600445,52.253074884575
2290,2564,5.086541794830853,52.09791221217325
2291,2301,5.0965708091750646,52.09264809052375
2292,2301,5.096684302763768,52.09244577083463
2293,2511,5.103260695744051,52.091720172604816
2294,2301,5.096922335508489,52.0918855476101
2296,2301,5.0855773866285645,52.08292212800763
2308,2544,5.21354505920447,52.06120187149189
2313,2303,5.079808147487256,52.06817091727835
2326,2513,5.292594042809764,52.21183581609183
2328,2301,5.24769824452195,52.202262686591666
2338,2304,5.036848711088618,52.08192129912706
2341,2301,5.297548433544854,52.16752702577482
2342,2504,5.292216667436711,52.17184908407204
2349,2301,5.0226239201300045,52.08050116760299
2356,2302,5.556474152691813,52.04306264017159
2359,2504,5.556402208157642,52.02958730764837
2361,2564,5.579548785480158,52.0305308830233
2362,2564,5.580635281441274,52.028766264726464
2363,2504,5.532246908968908,52.029098467108355
2364,2504,5.532819907963193,52.02880526587097
2381,2564,5.255389044654209,52.102415988798995
2385,2601,5.214241286192007,52.09749337842911
2389,2564,5.21353060264142,52.087091509632515
2398,2512,5.345164355528318,52.034548955074946
2401,2514,5.344954301209033,52.034568525805405
2402,2518,5.3449617310793265,52.03431152761915
2404,2301,5.033871586808206,51.91175651392377
2417,2541,5.097482940188558,51.9816830669588
2430,2301,5.162567790312701,52.02731389694574
2447,2301,5.185727693779474,51.994249686227725
2454,2302,5.1180814863565205,52.04933434413811
2465,2543,5.2445494129704775,52.026506663606284
2467,2304,5.344543109216514,51.97242601613884
2468,2301,5.34482611178458,51.972376704926646
2469,2302,5.346335629527858,51.972318399731584
2471,2301,5.344054262024116,51.97257178962742
2472,2301,5.345516410735619,51.9723017938726
2473,2301,5.346644616845249,51.972270290872274
2475,2561,5.347661214354672,51.97187352733868
2477,2546,5.345076474744194,51.97785171619631
2478,2301,5.344386479159575,51.97372446626919
2479,2304,5.344319732113146,51.972629732901424
2480,2304,5.3442491858496,51.97248250882331
2481,2304,5.344393922537304,51.97245626300174
2485,2504,5.3271581893015085,51.97349104145229
2486,2564,5.302687245653385,52.00100514903765
2488,2301,5.316836952335317,51.99470570142536
2490,2301,5.177995903678176,52.06983247212322
2492,2541,5.048716037401147,52.13020131221596
2493,2541,5.0492590140974025,52.12992323328462
2499,2528,5.054506038586778,52.142338308820456
2509,2301,5.414113748018978,52.082521172503526
2513,2301,5.308496614534826,52.061727971896325
2519,2504,4.925871232882856,52.2141785400654
2533,2301,4.978401235689219,52.112489538939116
2535,2301,5.021474429618302,52.15311763903159
2536,2301,5.018600050325231,52.15806502769764
2542,2301,5.0123237821750894,52.102912962403515
2547,2302,5.035071267559059,52.128868770297935
2557,2564,5.032373303835198,52.115732405592624
2567,2564,5.0554226536529265,52.015642089507416
2597,2301,5.080235557276477,52.03937150468845
2598,2301,5.094428955604492,52.0372964724973
2600,2561,5.094496949574879,52.037322912573735
2610,2504,5.209637228215452,52.12836928537977
2620,2542,5.206468271661166,52.130825276559776
2647,2513,5.121331921123485,52.072847146055636
2666,2303,5.126145227987513,52.12307006585516
2667,2504,5.128040740838203,52.115569650822
2699,2302,4.989702287884567,52.1717732825677
2739,2564,5.339575407910598,51.982415914585474
2759,2301,5.025877641892909,52.11765935143414
2760,2564,5.249769450000001,52.249452
2859,2541,5.3398298857002855,51.98311795365753
2906,2544,5.407717190788234,52.19372009356471
2912,2504,5.112604250082034,52.08999059812643
2913,2504,5.113368996320883,52.08936628377013
2960,2504,5.1137709568241165,52.09169751359819
2990,2504,5.113104934480428,52.09050090652062
3085,2302,5.541858000683284,52.01765448531579
3203,2564,5.317491733333333,51.97106330673952
3231,2302,5.1050128,52.10351235
3269,2301,5.193181051607912,51.99220950883349
3381,2541,5.0406256351796115,52.13685864001506
3486,2301,5.319873477009925,52.03693555080029
3500,2564,5.365135933496207,52.23146105923348
3532,2301,5.110606770843796,52.08991229355739
3533,2306,5.110239629612088,52.08978566903793
3617,2302,4.968532000000001,51.962251800000004
3740,2566,5.19573163779965,52.06348519396261
3883,2564,5.557876227100777,52.044292412745015
3888,2301,5.342530424004382,52.14820902963755
3931,2501,5.5804626701971385,52.02535964455983
4235,2566,5.195925979315551,52.06349727628064
4885,2565,5.4102180765424555,52.15912726431531
5335,2504,5.1112509470329455,52.09171915207433
5341,2564,5.003476421367509,52.08217390884728
6140,2547,5.507753370972357,52.11330313383316
0,2304,5.1179062,52.0979188
1,2304,5.1235152,52.0816566
11,2304,5.1190619,52.092868
12,2303,5.1209929,52.0898173
13,2304,5.1215186,52.0890362
14,2304,5.1235891,52.0818883
